total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
950.116362035,101.247039609,427.507697074,0,100.150657288,148.969399434,508.254770015,485.203600302,5.66466996096,17.3864997523,2022-12-22 05:00:00
944.052801231,101.800180569,420.39762355,0,100.150657288,149.894399434,738.005759359,715.142389485,14.1616749024,8.70169497106,2022-12-22 06:00:00
1166.65863163,103.459639102,412.935591922,0,176.471037341,302.612436532,595.84733756,550.137212541,28.3233498048,17.3867752142,2022-12-22 07:00:00
1275.67651955,105.227682208,407.575760092,0,243.2593065,310.10971186,575.778210428,515.762526133,42.4850247072,17.5306595875,2022-12-22 08:00:00
1332.52619578,106.251970713,432.769301541,0,243.2593065,310.10971186,566.96421616,483.910829332,56.6466996096,26.406687219,2022-12-22 09:00:00
1412.25411641,106.968905436,472.281016447,0,243.2593065,302.612436532,542.176245361,464.373521448,42.4850247072,35.3176992062,2022-12-22 10:00:00
1477.22780195,107.643205205,533.370950682,0,243.2593065,310.10971186,545.748116239,439.447596107,70.808374512,35.4921456201,2022-12-22 11:00:00
1497.74816192,108.191213255,546.600552979,0,243.2593065,310.10971186,528.33973665,421.977292189,70.808374512,35.5540699494,2022-12-22 12:00:00
1471.93653937,108.711221851,553.296561136,0,243.2593065,310.10971186,501.766830176,404.408468236,70.808374512,26.5499874274,2022-12-22 13:00:00
1516.68243958,109.353031955,557.925431224,0,243.2593065,302.612436532,474.371812904,382.14673757,56.6466996096,35.5783757245,2022-12-22 14:00:00
1519.13170838,110.067425151,552.650968122,0,243.2593065,302.612436532,433.842420465,355.839155916,42.4850247072,35.5182398415,2022-12-22 15:00:00
1520.17104773,110.879635735,543.049364411,0,243.2593065,302.612436532,430.04774217,337.949297958,56.6466996096,35.4517446027,2022-12-22 16:00:00
1536.38053662,111.307968922,546.103864114,0,243.2593065,310.10971186,447.328486944,335.8988019,84.9700494144,26.459635629,2022-12-22 17:00:00
1554.72544379,111.274885461,554.578699858,0,243.2593065,310.10971186,468.722749938,357.540631485,84.9700494144,26.2120690382,2022-12-22 18:00:00
1271.17443927,101.247039609,552.95978828,0,166.938926447,199.110933808,457.522777369,363.827346865,84.9700494144,8.72538108945,2022-12-22 19:00:00
1251.86945588,101.247039609,550.804772962,0,166.938926447,191.61365848,444.107616044,370.032729242,56.6466996096,17.4281871919,2022-12-22 20:00:00
1112.48847282,101.247039609,547.727342169,0,100.150657288,124.558693486,485.227894971,411.151476159,56.6466996096,17.4297192021,2022-12-22 21:00:00
1037.87629624,101.247039609,512.888662919,0,100.150657288,124.558693486,475.092945449,423.903609199,42.4850247072,8.70431154231,2022-12-22 22:00:00
918.042024025,101.247039609,458.271251344,0,46.0930336215,124.558693486,495.067414579,449.358206766,28.3233498048,17.3858580082,2022-12-22 23:00:00
886.775878605,101.247039609,452.583068131,0,46.0930336215,124.558693486,537.682463685,514.818550054,14.1616749024,8.70223872882,2022-12-23 00:00:00
897.048719298,101.247039609,458.707199209,0,46.0930336215,113.312780494,497.554050274,474.502962771,5.66466996096,17.3864175421,2022-12-23 01:00:00
896.127459867,101.247039609,456.743324736,0,46.0930336215,113.312780494,497.756780113,483.388489077,5.66466996096,8.70362107526,2022-12-23 02:00:00
887.426472048,101.247039609,449.800608822,0,46.0930336215,113.312780494,516.10337487,493.054537264,5.66466996096,17.3841676455,2022-12-23 03:00:00
884.123222252,101.247039609,444.66348522,0,46.0930336215,113.312780494,516.19486991,501.82708347,5.66466996096,8.70311647962,2022-12-23 04:00:00
897.101924494,101.247039609,443.919120409,0,55.6251445156,113.312780494,521.784274138,498.733850308,5.66466996096,17.3857538691,2022-12-23 05:00:00
889.352369414,101.247039609,437.457786036,0,55.6251445156,113.312780494,530.240154715,507.375881606,14.1616749024,8.70259820695,2022-12-23 06:00:00
952.987347618,101.247039609,432.472750598,0,65.1572554096,176.889270242,501.017749255,455.309629526,28.3233498048,17.3847699245,2022-12-23 07:00:00
1058.8268634,101.587778278,424.765054353,0,109.682768182,220.96816451,759.572438295,708.385311839,42.4850247072,8.70210174907,2022-12-23 08:00:00
